title;description;price;store;categories;details;parent_asin
Chaucer;[];8.23;Peter Ackroyd (Author);['Books', 'Literature & Fiction', 'History & Criticism'];"{'Publisher': 'Chatto & Windus; First Edition (January 1, 2004)', 'Language': 'English', 'Hardcover': '196 pages', 'ISBN 10': '0701169850', 'ISBN 13': '978-0701169855', 'Item Weight': '10.1 ounces', 'Dimensions': '5.39 x 0.71 x 7.48 inches'}";0701169850
title;description;price;store;categories;details;parent_asin
Notes from a Kidwatcher;"['About the Author', ""SANDRA WILDE, Ph.D., is widely recognized for her expertise in developmental spelling and her advocacy of holistic approaches to spelling and phonics. She is Professor of Curriculum and Instruction at Portland State University in Oregon. She is best known for her work in invented spelling, phonics and miscue analysis. She specializes in showing teachers how kids' invented spellings and miscues can help us work with them in more sophisticated and learner-centered ways. Looking at what kids do as they read and write is at the heart of Sandra's presentations and workshops. She can do lively keynote presentations that highlight the interesting things that we can learn by paying close attention to students' invented spellings and miscues, as well as workshops of varying lengths that focus on student-centered teaching of spelling and phonics. She has recently begun offering workshops that focus on understanding students' miscues as a guide to appropriate instruction, p""]";3.52;Sandra Wilde (Editor);['Books', 'Reference', 'Words, Language & Grammar'];"{'Publisher': 'Heinemann; First Edition (May 20, 1996)', 'Language': 'English', 'Paperback': '316 pages', 'ISBN 10': '0435088688', 'ISBN 13': '978-0435088682', 'Item Weight': '1.05 pounds', 'Dimensions': '6.03 x 0.67 x 8.95 inches'}";0435088688
title;description;price;store;categories;details;parent_asin
Service: A Navy SEAL at War;"['Review', 'Praise for SERVICE""An action-packed...reflective saga of contemporary military service.""―', 'Kirkus Reviews', '""Marcus Luttrell, with James D. Hornfischer, has written another emotional story that the reader will not want to put down.""―', 'American Thinker', 'About the Author', 'Marcus Luttrell', 'became a combat-trained Navy SEAL in 2002 and served in many dangerous Special Operations assignments around the world. He is the author of the', 'New York Times', 'bestseller', 'Lone Survivor', ', and is a popular corporate and organizational speaker. He lives near Houston, Texas.\xa0James D. Hornfischer\xa0is the author of four bestselling books on the U.S. Navy in World War II,', 'The Fleet at Flood', 'Tide', ',', ""Neptune's"", 'Inferno, Ship of Ghosts,', 'and', 'The Last Stand of the Tin Can Sailors,', 'winner of the Samuel Eliot Morison Award. He lives in Austin, Texas.']";17.17;Marcus Luttrell (Author),  James D. Hornfischer;['Books', 'Biographies & Memoirs', 'Leaders & Notable People'];"{'Publisher': 'Little, Brown and Company; 1st edition (May 8, 2012)', 'Language': 'English', 'Hardcover': '384 pages', 'ISBN 10': '9780316185363', 'ISBN 13': '978-0316185363', 'Item Weight': '1.4 pounds', 'Dimensions': '6.25 x 1.55 x 9.55 inches'}";0316185361
title;description;price;store;categories;details;parent_asin
Monstrous Stories #4: The Day the Mice Stood Still;[];7.43;Dr. Roach (Author);"['Books', ""Children's Books"", 'Science Fiction & Fantasy']";"{'Publisher': 'Scholastic Paperbacks; Reprint edition (October 29, 2013)', 'Language': 'English', 'Paperback': '64 pages', 'ISBN 10': '0545425573', 'ISBN 13': '978-0545425575', 'Reading age': '7 - 10 years', 'Lexile measure': '590L', 'Grade level': '2 - 5', 'Item Weight': '1.92 ounces', 'Dimensions': '5.25 x 0.2 x 7.5 inches'}";0545425573
title;description;price;store;categories;details;parent_asin
Parker & Knight;[];0.0;Remington Kane (Author)   Format: Kindle Edition;['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense'];{'Publication date': 'May 18, 2014', 'Language': 'English', 'File size': '1542 KB', 'Simultaneous device usage': 'Unlimited', 'Text to Speech': 'Enabled', 'Screen Reader': 'Supported', 'Enhanced typesetting': 'Enabled', 'X Ray': 'Not Enabled', 'Word Wise': 'Enabled', 'Sticky notes': 'On Kindle Scribe', 'Print length': '233 pages'};B00KFOP3RG
title;description;price;store;categories;details;parent_asin
"Writings from a Black Woman Living in the Land of the ""Free"": Strength, Power, Resilience";[];4.05;Tori Ruff (Author),  Juwan Nicholson (Editor),  TBrown Media (Photographer);['Books', 'Arts & Photography', 'History & Criticism'];{'Publisher': 'Independently published (December 30, 2021)', 'Language': 'English', 'Paperback': '24 pages', 'ISBN 13': '979-8528537702', 'Item Weight': '3.2 ounces', 'Dimensions': '7 x 0.06 x 9 inches'};B09PHG4FQ8
title;description;price;store;categories;details;parent_asin
Child Development: A Practitioner's Guide:2nd (Second) edition;[];10.68;aa (Author);['Books', 'Parenting & Relationships', 'Parenting'];"{'Publisher': 'Giulford ,2004. 2nd Edition; 8082nd edition (January 1, 1994)', 'Item Weight': '0.01 ounces'}";B0086HQWC4
title;description;price;store;categories;details;parent_asin
Make: Electronics: Learning Through Discovery;['From the Author', 'Make: Electronics', 'is the book that I wish I had owned when I was a young teenager, struggling to learn the basics of electricity and electronics. My goal is to give readers today an easier learning experience than the one I had to go through. And I want it to be fun.', 'About the Author', 'Charles Platt is a Contributing Editor and regular columnist for Make magazine, where he writes about electronics. He is the author of the highly successful introductory hands-on book, Make:Electronics, and is writing a sequel to that book in addition to volumes 2 and 3 of the Encyclopedia of Electronic Components. Platt was a Senior Writer for Wired magazine, and has written various computer books. As a prototype designer, he created semi-automated rapid cooling devices with medical applications, and air-deployable equipment for first responders. He was the sole author of four mathematical-graphics software packages, and has been fascinated by electronics since he put together a telephone answering machine from a tape recorder and military-surplus relays at age 15. He lives in a Northern Arizona wilderness area, where he has his own workshop for prototype fabrication and projects that he writes about for Make magazine.'];13.43;Charles Platt (Author);['Books', 'Engineering & Transportation', 'Engineering'];"{'Publisher': 'Make Community, LLC; 2nd edition (September 22, 2015)', 'Language': 'English', 'Paperback': '352 pages', 'ISBN 10': '9781680450262', 'ISBN 13': '978-1680450262', 'Reading age': '11 - 17 years', 'Item Weight': '2.91 pounds', 'Dimensions': '8 x 0.5 x 10 inches'}";1680450263
title;description;price;store;categories;details;parent_asin
Reunion: The Children of Lauderdale Park;[];14.0;Pol McShane (Author);['Books', 'Literature & Fiction', 'Genre Fiction'];{'Publisher': 'Independently published (September 25, 2019)', 'Language': 'English', 'Paperback': '367 pages', 'ISBN 10': '1694621731', 'ISBN 13': '978-1694621733', 'Item Weight': '1.38 pounds', 'Dimensions': '6 x 0.92 x 9 inches'};1694621731
title;description;price;store;categories;details;parent_asin
Four Centuries of American Education;"['About the Author', ""David Barton is the founder of WallBuilders, an organization dedicated to presenting America's forgotten history and heroes, with an emphasis on our moral, religious, and constitutional heritage. David is author of numerous best-selling works and a national award-winning historian who brings a fresh perspective to history.""]";6.99;David Barton (Author);['Books', 'Education & Teaching', 'Schools & Teaching'];"{'Publisher': 'WallBuilder Press; First Edition (November 8, 2004)', 'Language': 'English', 'Paperback': '51 pages', 'ISBN 10': '1932225323', 'ISBN 13': '978-1932225327', 'Item Weight': '3.52 ounces'}";1932225323
title;description;price;store;categories;details;parent_asin
Mining Engineers and the American West: The Lace-Boot Brigarde, 1849-1933;['Review', 'This book is a treasure trove of tales about the early mining engineers and their experiences on the Western frontier. --Mining History News', 'About the Author', 'Dr. Spence is Professor Emeritus of History at the University of Illinois at Urbana-Champaign.'];24.24;Clark C. Spence (Author);['Books', 'History', 'Americas'];{'Publisher': 'Caxton Press (January 1, 1993)', 'Language': 'English', 'Paperback': '407 pages', 'ISBN 10': '0893011673', 'ISBN 13': '978-0893011673', 'Item Weight': '1.51 pounds', 'Dimensions': '6.05 x 1.14 x 9.03 inches'};0893011673
title;description;price;store;categories;details;parent_asin
Heart of Silk and Shadows: A Fae Fantasy Romance (Fae Isles);[];11.99;Lisette Marshall (Author);['Books', 'Science Fiction & Fantasy', 'Fantasy'];{'Publisher': 'Lisette Marshall (May 29, 2022)', 'Language': 'English', 'Paperback': '215 pages', 'ISBN 10': '9083256898', 'ISBN 13': '978-9083256894', 'Item Weight': '11.4 ounces', 'Dimensions': '6 x 0.54 x 9 inches'};9083256898
title;description;price;store;categories;details;parent_asin
Girl Made of Glass;['Review', '“Reading this book was like reading my own journal. Inside of all of us there is a girl made of glass just wanting to be heard, and Shelby expresses those all-too-relatable feelings with grace and elegance.” —', 'amanda lovelace,', 'Author of', 'unlock your storybook heart', '“The vulnerability in', 'Girl Made of Glass', 'shines through and the themes of self-love, self-esteem, image, and exploration of identity and confidence tie together in a relatable way.” —', 'Amanda Linsmeier', ', author of', 'Starlings', '“', 'girl made of glass', 'is a spectacular homage to the process of self-growth and the introspection it requires. Shelby has written a must-read for all who have ever felt like they are about to shatter.”\xa0 —', 'Catarine Hancock', ', author of', 'shades of lovers', 'About the Author', 'Shelby Leigh is an author who explores mental health, self-love, and healing through poetry. She wrote her third and newest collection,', 'girl made of glass', ', to examine the past and how it can haunt our minds through overthinking. She writes her books with the goal of making others feel less alone and to empower her readers to love who they are. When Leigh isn’t writing, you can find her reading a good book, buying yellow decor, and/or probably eating chocolate.'];15.29;Shel Leigh (Author);['Books', 'Literature & Fiction', 'Poetry'];{'Publisher': 'Central Avenue Publishing (January 24, 2023)', 'Language': 'English', 'Paperback': '144 pages', 'ISBN 10': '1771682760', 'ISBN 13': '978-1771682763', 'Item Weight': '5.1 ounces', 'Dimensions': '5.25 x 0.4 x 8 inches'};1771682760
title;description;price;store;categories;details;parent_asin
The Old Man and the Pirate Princess;[];10.0;Jessica Mathews (Author);"['Books', ""Children's Books"", 'Science Fiction & Fantasy']";{'Publisher': 'Jessica Mathews, LLC (November 13, 2019)', 'Language': 'English', 'Paperback': '26 pages', 'ISBN 10': '1087848539', 'ISBN 13': '978-1087848532', 'Reading age': '3 - 8 years', 'Grade level': 'Kindergarten - 3', 'Item Weight': '3.03 ounces', 'Dimensions': '8.5 x 0.05 x 11 inches'};1087848539
title;description;price;store;categories;details;parent_asin
Japanese Girls and Women;['About the Author', 'Alice M. Bacon was a private American scholar and keen social observer who resided for many years in Japan. She was the first Western woman to live in a Japanese household.'];68.01;Bacon (Author),  Alice M. Bacon (Author);['Books', 'History', 'Asia'];"{'Publisher': 'Kegan Paul; 1st edition (November 15, 2000)', 'Language': 'English', 'Hardcover': '348 pages', 'ISBN 10': '0710306911', 'ISBN 13': '978-0710306913', 'Item Weight': '2.23 pounds', 'Dimensions': '5.5 x 1.25 x 8.5 inches'}";0710306911
title;description;price;store;categories;details;parent_asin
Behavior Principles in Everyday Life;[];6.74;John D. Baldwin (Author);['Books', 'Health, Fitness & Dieting', 'Psychology & Counseling'];"{'Publisher': 'Prentice Hall College Div; 3rd edition (January 1, 1997)', 'Language': 'English', 'Paperback': '390 pages', 'ISBN 10': '0130840963', 'ISBN 13': '978-0130840967', 'Item Weight': '1.3 pounds', 'Dimensions': '7.01 x 0.67 x 9.17 inches'}";0130840963
title;description;price;store;categories;details;parent_asin
PQL 3 - Lola (Spanish Edition);[];4.62;Spanish Edition                        Lourdes Miquel López (Author),  Neus Sans Baulenas (Author);['Books', 'Education & Teaching', 'Schools & Teaching'];"{'Publisher': 'Edelsa Grupo Didascalia; edición (September 1, 1987)', 'Language': 'Spanish', 'Paperback': '44 pages', 'ISBN 10': '8477110190', 'ISBN 13': '978-8477110194', 'Item Weight': '2.05 ounces', 'Dimensions': '5.12 x 0.16 x 7.48 inches'}";8477110190
title;description;price;store;categories;details;parent_asin
A sermon, preached at the execution of Moses Paul, an Indian: who was executed at New-Haven, on the 2d of September, 1772, for the murder of Mr. Moses ... 1771 : preached at the desire of said Paul.;[];14.75;Samson Occom (Author);['Books', 'History', 'Americas'];{'Publisher': 'Gale, Sabin Americana (February 21, 2012)', 'Language': 'English', 'Paperback': '26 pages', 'ISBN 10': '1275627234', 'ISBN 13': '978-1275627239', 'Item Weight': '2.4 ounces', 'Dimensions': '7.44 x 0.05 x 9.69 inches'};1275627234
title;description;price;store;categories;details;parent_asin
Business Associations: Agency, Partnerships, LLCs, and Corporations- 2013 Statutes and Rules;[];23.95;William Klein (Author),  J. Ramseyer (Author),  Stephen Bainbridge (Author);['Books', 'Law', 'Business'];"{'Publisher': 'Foundation Press; 2013th edition (March 22, 2013)', 'Language': 'English', 'Paperback': '355 pages', 'ISBN 10': '1609303687', 'ISBN 13': '978-1609303686', 'Item Weight': '1.5 pounds', 'Dimensions': '7 x 0.5 x 9.75 inches'}";1609303687
title;description;price;store;categories;details;parent_asin
